brand_name,country,founded,specialty,headquarters
BMW,Germany,1916,Performance and Luxury,Munich Germany
Ferrari,Italy,1947,Supercars and Racing,Maranello Italy
Lamborghini,Italy,1963,Ultra-High Performance,Sant Agata Bolognese Italy
Porsche,Germany,1931,Sports and Engineering,Stuttgart Germany
Mercedes-Benz,Germany,1926,Luxury and Innovation,Stuttgart Germany
Rolls-Royce,UK,1904,Ultra-Luxury Craftsmanship,Goodwood UK
Bentley,UK,1919,Grand Touring Luxury,Crewe UK
McLaren,UK,1963,Lightweight Supercars,Woking UK
